# latent_filename	original_filename	quality_rank
d94bb1f133b6f35598ab1090339e1d2ef992da80c6d7f7730862b58f49579474_latent.pt	00004987.jpg	225
dcddffc03796e602713d9503ef84568baf6efe148a93ae9ddf69cbe440ad4949_latent.pt	00001997.jpg	226
5e15366be28b20f85fb267f525668b5ab9bf7d55a84409de0eb0a1d43f09cac3_latent.pt	00004851.jpg	227
611043241a3d671bf004165f62fdfe5face70fe455a873ba5919aa0bd6f1e897_latent.pt	00000180.jpg	228
4582dd47c826d79a0c4083c39eacec08f9fd0ddf6cf3882fea17f96dcb682ae1_latent.pt	00004668.jpg	230
873aa80aacb32cfe8e194e0f2bd3d918e952bd656bc46ca89cef7da0eaaac20c_latent.pt	00001254.jpg	231
d8dd27ef87662218513adef98677109137f7f51ea49b8fa1728c3a7097c6bebc_latent.pt	00004304.jpg	232
5838ab17e4bca644049c014c973e03385d7c7b55f4063ad4734443b3327b0cb4_latent.pt	00000470.jpg	233
c6d7a71d0ebe6281aaec35cbf8b5fb043cf8fa2ac898c1e7ab49ca468ebe8e5c_latent.pt	00001514.jpg	234
07513ad97fc134f90d219b2863b65e518a37601321ad33b33c99a2a053997f09_latent.pt	00000022.jpg	235
071e2aea6abdd6ddac4dbc54b6c3eadeb8d379ec6fc5a5b8ffd13843b946ebf0_latent.pt	00001225.jpg	236
79388079c8d75bef22b36bfee42f4aaa3ecbf8c0054255935f758c098d8fd78a_latent.pt	00002788.jpg	237
948db41106d0773651789a2eaea6e084dac66fc418132124300e6d5a9bebc898_latent.pt	00002004.jpg	238
69983e4399c2cc901021b5429d5659d07188ec9307c816e5a6a46b1acc73e00b_latent.pt	00002933.jpg	239
7ec5f2802f2151d16941921c525c4977da08caa9958cd9f6144508d7964ce3ce_latent.pt	00000853.jpg	240
74cc5664245a9e1c329d5dcf944d4bb410fc98ab82442c3bcde3688dcdfce418_latent.pt	00004777.jpg	241
f07e5b93026481b76ff49d36dc8b5895fa5f53399be3a897c979e3fce2028535_latent.pt	00003286.jpg	242
09eeeb946e694d9a1b5f8efa16649e56c54e8679177c3074f34d066d632ef4c7_latent.pt	00000611.jpg	243
926ae1cf5fd3305a42bac9ed804f074c30cdbc6966319398afe42a43e22844a8_latent.pt	00004123.jpg	244
94810d183426b2345e6f1d0916913ec80668a3a97c75aa04cc7a895e4b510fa6_latent.pt	00003458.jpg	245
c5b79dbd524a224cd3c72b0fccc815f13598036cb3de50b6e724d6bea766a4d7_latent.pt	00000397.jpg	246
f7fba07e618a955eba5e5bd85d683304439fe76202229429343798b30b1acbf7_latent.pt	00000053.jpg	247
c0ce62dc45bb8f3eaac3f4cc5f1ee5641ac3f34e36da2e2dfe3e748b44fc8d0b_latent.pt	00001590.jpg	248
9012c82e8a3932f629aba5030f66f509046dc4b617ef03317070adbcafd1cfaf_latent.pt	00004413.jpg	249
7e19aace5e997c04c5f5e0cc85946514f65a6833163f8010e91ce682da3ebcb7_latent.pt	00003798.jpg	250
76f29980683f6138b77533471750e7755158209db7746f97aeb57f35524ee698_latent.pt	00002915.jpg	251
b1304d60cc5680d2b56efd89e62d478a104d8cf40dea05018a33921620b02ccf_latent.pt	00002569.jpg	253
f0abb067be3ff02135e14bd85b5274d0097559abf425a98676d1f8cef06aff5c_latent.pt	00000300.jpg	254
